# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\aluno\Desktop\SistemaSS\Pinos.csv
# Generated on: Thu Apr 11 17:26:01 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
a[3],Input,PIN_AE14,5,B5_N1,PIN_H15,,,,
a[2],Input,PIN_P25,5,B5_N1,PIN_H17,,,,
a[1],Input,PIN_N26,6,B6_N0,PIN_G15,,,,
a[0],Input,PIN_N25,7,B7_N1,PIN_F15,,,,
b[3],Input,PIN_C13,7,B7_N1,PIN_H16,,,,
b[2],Input,PIN_AC13,8,B8_N0,PIN_A18,,,,
b[1],Input,PIN_AD13,8,B8_N0,PIN_F16,,,,
b[0],Input,PIN_AF14,3,B3_N0,PIN_A17,,,,
butao,Input,PIN_V2,1,B1_N0,PIN_F17,,,,
display7[6],Output,PIN_U9,1,B1_N0,PIN_C17,,,,
display7[5],Output,PIN_U1,1,B1_N0,PIN_E18,,,,
display7[4],Output,PIN_U2,1,B1_N0,PIN_G17,,,,
display7[3],Output,PIN_T4,1,B1_N0,PIN_D18,,,,
display7[2],Output,PIN_R7,1,B1_N0,PIN_B17,,,,
display7[1],Output,PIN_R6,1,B1_N0,PIN_J17,,,,
display7[0],Output,PIN_T3,1,B1_N0,PIN_D17,,,,
LED_out,Output,PIN_AE22,7,B7_N0,PIN_G16,,,,
S_IN[2],Input,PIN_V1,1,B1_N0,PIN_C13,,,,
S_IN[1],Input,PIN_U4,1,B1_N0,PIN_D13,,,,
S_IN[0],Input,PIN_U3,1,B1_N0,PIN_B18,,,,
